"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","Anudol_Creek_A-8hr","Small Storage Hydro","North Coast","y","55.12","-129.53","160","40","3","345","92.74","NA","6.1449999999999996","41.758800000000001",47.9038,69,1916.152,"56.9","2.9694930256054838E-2","NA","NA","NA","NA",189.9475,0.198079144061588,769,0.801920855938412,958.9475,0.023339850637735,0.0944910838016725,0.117830934439407,NA
"2","Ball_Creek-8hr","Small Storage Hydro","North Coast","y","57.26","-130.32","43.2","40","2","46","363.72","NA","3.7970562748452998","36.497100000000003",40.2941562748453,69,1611.76625099381,"139.30000000000001","8.6426924446462286E-2","NA","NA","NA","NA",251.3053,0.308378174844651,563.6204,0.691621825155349,814.9257,0.0308792069728276,0.0692550096862577,0.100134216659085,NA
"3","Batt_VI","Battery","Vancouver Island","y","48.494855999999999","-123.42505199999999","50","NA","40","NA","NA","250.36602238805969","0","0.6",0.6,69,24,"0.3","1.2499999999999999E-2","NA","NA","NA","NA",19.1169,0.656556844993801,10,0.343443155006199,29.1169,0.00234899427819011,0.00122875271523631,0.00357774699342642,NA
"4","BC18","Onshore Wind","North Coast","y","54.712200000000003","-126.67100000000001","170","NA","40.799999999999997","481.60728","78.565597635227192","NA","94.627750000000006","535.23418749999996",629.8619375,230,25194.4775,"46.44059340169111","1.8432846405205708E-3","P","73","NA","NA",297.36963,0.219010719754729,1060.4161,0.780989280245271,1357.78573,0.0365393740291318,0.13029891621553,0.166838290244662,NA
"5","BC19","Onshore Wind","North Coast","y","54.700099999999999","-127.529","105","NA","25.2","309.32873999999998","79.891535204200608","NA","1.0899495849600001","24.509544921875001",25.599494506835,230,1023.9797802734,"28.627763055836986","2.7957351900243031E-2","P","45","NA","NA",829.4391,0.368309970760835,1422.5746,0.631690029239165,2252.0137,0.101917554624816,0.174799240237621,0.276716794862437,NA
"6","BC20","Onshore Wind","North Coast","y","54.531500000000001","-127.35899999999999","105","NA","25.2","323.21771999999999","76.87076421151724","NA","1.80710681152","27.706601562500001",29.51370837402,130,1180.5483349608,"28.627763055836986","2.4249547611100195E-2","P","45","NA","NA",1400.2197,0.483449577232711,1496.09,0.516550422767289,2896.3097,0.172052375830238,0.183832464973789,0.355884840804027,NA
"7","BC21","Onshore Wind","North Coast","y","54.953699999999998","-125.59099999999999","220","NA","52.8","648.11735999999996","83.829652025682037","NA","0.241421356201","32.540412109374998",32.781833465576,130,1311.27333862304,"60.43638867343364","4.6089847854984621E-2","P","95","NA","NA",800.2109,0.244197020061815,2476.696,0.755802979938185,3276.9069,0.0983261316136693,0.304324693481491,0.402650825095161,NA
"8","BC22","Onshore Wind","North Coast","y","54.610999999999997","-126.136","260","NA","62.4","765.95687999999996","74.242169125861622","NA","3.5213208007799999","98.315343749999997",101.83666455078,230,4073.4665820312,"71.887493895768429","1.7647743622809426E-2","P","113","NA","NA",290.90643,0.126027613005767,2017.3689,0.873972386994233,2308.27533,0.0357452065742202,0.247884751350829,0.28362995792505,NA
"9","BC23","Onshore Wind","North Coast","y","55.331899999999997","-126.911","105","NA","25.2","309.32873999999998","84.230430873324536","NA","14.226689453100001","45.149242187500001",59.3759316406,230,2375.037265624,"28.627763055836986","1.2053605840292166E-2","P","45","NA","NA",565.78853,0.241988459568223,1772.2921,0.758011540431777,2338.08063,0.0695214192487062,0.217770873006687,0.287292292255393,NA
"10","Bookhout 2","Pumped Storage","Vancouver Island","y","49.326725104700003","-125.058627449","1000","NA","495","NA","NA","181.76816646464647","4.14558496094","78.547015625",82.69260058594,230,3307.7040234376,"46.3","1.3997624839444299E-2","NA","NA","NA","NA",222.9156,0.34742165402903,418.7128,0.65257834597097,641.6284,0.0273908148768532,0.0514494489904199,0.0788402638672731,NA
