"","BC Hydro Names","Project Type","Region","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","ATG (ha)","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River",55.7000000005,-121.633333333,9.20943570024,"9","NA","73","213.94","NA",0,0.424264,0.424264,25,"NA","NA","NA","NA",10,7,0.5,7,0.5,14,0,0,0,NA
"2","WBBio_SP_ST","Biomass","Peace River",55.7000000005,-121.633333333,0.9235825785,"1","NA","7","213.94","NA",0,0.424264,0.424264,25,"NA","NA","NA","NA",10,7,0.5,7,0.5,14,0,0,0,NA
"3","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island",48.88,-123.8,40.1,"40","21","113.7","91.427448071216631","NA",0.3,8,8.3,69,"NA","NA","NA","NA",7.99,33,0.323529411764706,69,0.676470588235294,102,0.00121284623234159,0.00253595121307788,0.00374879744541947,NA
"4","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland",49.68,-121.53,40.4,"40","8","134.80000000000001","88.061461448598124","NA",0,9.69411254969675,9.69411254969675,69,"NA","NA","NA","NA",9.02,64,0.516129032258065,60,0.483870967741935,124,0.00241857899704482,0.00226741780972952,0.00468599680677434,NA
"5","VI_Batt_1","Battery","Vancouver Island",48.494856,-123.425052,50,"NA","40","NA","NA","250.36602238805969",0,0.6,0.6,69,"NA","NA","NA","NA",0.3,90,0.629370629370629,53,0.370629370629371,143,0.00345864099978703,0.00203675525543014,0.00549539625521718,NA
"6","WBBio_WPR_PL","Biomass","North Coast",54.0527777786,-128.65,13.691422297,"13","NA","109","133.66","NA",0,4.76985,4.76985,25,"NA","NA","NA","NA",10,134,0.425396825396825,181,0.574603174603175,315,0.00545468961628964,0.00736790164588377,0.0128225912621734,NA
"7","NC13","Onshore Wind","North Coast",54.277221,-130.338158,27,"NA","7.1999999999999993","89.352000000000004","105.77926262590856","NA",6.2,4.59411279296875,10.7941127929688,69,"R","NA","NA","NA",42.32009,171,0.51044776119403,164,0.48955223880597,335,0.00698016419866079,0.00669442648292614,0.0136745906815869,NA
"8","PC32","Onshore Wind","Peace River",55.80858425,-121.3839604,150,"NA","36","383.81940000000003","84.166982229582743","NA",0.1,20,20.1,130,"P","30","NA","NA",19.085175370558,201.52011,0.550814269613215,164.33844,0.449185730386785,365.85855,0.00825624542946679,0.00673291858631728,0.0149891640157841,NA
"9","MSW 2","Municipal Solid Waste","Vancouver Island",49.101284,-123.010378,25.3,"27","NA","222","92.14","NA",0,2.59706,2.59706,69,"NA","NA","NA","NA",4,230,0.5,230,0.5,460,0.0094997935264607,0.0094997935264607,0.0189995870529214,NA
"10","ROR_5332","Run of River","Mica",51.6569055729,-118.616383477,49.27,"NA","7","151","84.37","NA",0.141421356201,4.7698486328125,4.9112699890135,69,"NA","NA","NA","NA",5.75,249,0.514462809917355,235,0.485537190082645,484,0.0103005673609467,0.00972141899527095,0.0200219863562176,NA
