"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River","y","55.700000000499998","-121.633333333","9.2094357002400002","9","NA","73","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",1,0.5,1,0.5,2,9.13659205116492e-05,9.13659205116492e-05,0.000182731841023298,NA
"2","WBBio_SP_ST","Biomass","Peace River","y","55.700000000499998","-121.633333333","0.92358257850000003","1","NA","7","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",1,0.5,1,0.5,2,9.13659205116492e-05,9.13659205116492e-05,0.000182731841023298,NA
"3","Batt_VI","Battery","Vancouver Island","y","48.494855999999999","-123.42505199999999","50","NA","40","NA","NA","250.36602238805969","0","0.6",0.6,69,24,"0.3","1.2499999999999999E-2","NA","NA","NA","NA",20,0.666666666666667,10,0.333333333333333,30,0.00182731841023298,0.000913659205116492,0.00274097761534947,NA
"4","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island","y","48.88","-123.8","40.1","40","21","113.7","91.427448071216631","NA","0.3","8",8.3,69,332,"7.99","2.4066265060240965E-2","NA","NA","NA","NA",13,0.302325581395349,30,0.697674418604651,43,0.00118775696665144,0.00274097761534947,0.00392873458200091,NA
"5","Solar79181","Solar","Vancouver Island",NA,"48.394614390000001","-123.68698790000001","20.736000000000001","NA","NA","34.642736669999998","156.2644238","NA","0","0",0,130,0,"84.24",NA,"NA","NA","84.24","33.695999999999998",6,0.130434782608696,40,0.869565217391304,46,0.000548195523069895,0.00365463682046597,0.00420283234353586,NA
"6","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland","y","49.68","-121.53","40.4","40","8","134.80000000000001","88.061461448598124","NA","0","9.6941125496967455",9.69411254969675,69,387.76450198787,"9.02","2.3261541357599995E-2","NA","NA","NA","NA",19,0.41304347826087,27,0.58695652173913,46,0.00173595248972133,0.00246687985381453,0.00420283234353586,NA
"7","Solar73257","Solar","Selkirk",NA,"49.882209920000001","-119.53793","15.35261538","NA","NA","25.777106369999998","124.2695628","NA","0","7.1",7.1,25,284,"62.37","0.21961267605633802","NA","NA","62.37","24.948",60,0.857142857142857,10,0.142857142857143,70,0.00548195523069895,0.000913659205116492,0.00639561443581544,NA
"8","Solar73984","Solar","Lower Mainland",NA,"49.25994","-122.8224257","17.34646154","NA","NA","25.107017670000001","133.37647190000001","NA","0.3","0",0.3,25,12,"70.47","5.8724999999999996","NA","NA","70.47","28.187999999999999",25,0.320512820512821,53,0.67948717948718,78,0.00228414801279123,0.00484239378711741,0.00712654179990863,NA
"9","Solar75466","Solar","Vancouver Island",NA,"48.834504019999997","-124.0850609","46.855384620000002","NA","NA","74.251016120000003","127.60151999999999","NA","0","2.9",2.9,69,116,"190.35","1.640948275862069","NA","NA","190.35","76.14",11,0.107843137254902,91,0.892156862745098,102,0.00100502512562814,0.00831429876656007,0.00931932389218821,NA
"10","WBBio_WPR_PL","Biomass","North Coast","y","54.052777778600003","-128.65","13.691422297000001","13","NA","109","133.66","NA","0","4.7698499999999999",4.76985,25,190.794,"10","5.241254966089081E-2","NA","NA","NA","NA",47,0.451923076923077,57,0.548076923076923,104,0.00429419826404751,0.005207857469164,0.00950205573321151,NA
