"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River","y","55.700000000499998","-121.633333333","9.2094357002400002","9","NA","73","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",4.04386751260608,0.81282596129191,0.931204280350357,0.18717403870809,4.97507179295644,2.40140377265732e-05,5.52984850511797e-06,2.95438862316911e-05,NA
"2","WBBio_SP_ST","Biomass","Peace River","y","55.700000000499998","-121.633333333","0.92358257850000003","1","NA","7","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",4.04386751260608,0.81282596129191,0.931204280350357,0.18717403870809,4.97507179295644,2.40140377265732e-05,5.52984850511797e-06,2.95438862316911e-05,NA
"3","Solar21844","Solar","Peace River",NA,"56.025869370000002","-122.0464077","64.8","NA","NA","101.8299691","129.12719440000001","NA","0.3","3.2",3.5,130,140,"263.25","1.8803571428571428","NA","NA","263.25","105.3",45.6754868254066,0.155023189364704,248.960993126966,0.844976810635296,294.636479952373,0.000271238575543253,0.0014784259530657,0.00174966452860896,NA
"4","PC32","Onshore Wind","Peace River","y","55.808584250000003","-121.38396040000001","150","NA","36","383.81940000000003","84.166982229582743","NA","0.1","20",20.1,130,804,"19.085175370557995","2.3737780311639294E-2","P","30","NA","NA",524.537639795803,0.742063960520044,182.325471341144,0.257936039479956,706.863111136947,0.00311490587458597,0.00108271864339092,0.00419762451797689,NA
"5","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island","y","48.88","-123.8","40.1","40","21","113.7","91.427448071216631","NA","0.3","8",8.3,69,332,"7.99","2.4066265060240965E-2","NA","NA","NA","NA",106.8677475648,0.104668608296974,914.142747402191,0.895331391703026,1021.01049496699,0.00063462171146184,0.00542853057256623,0.00606315228402807,NA
"6","Solar79181","Solar","Vancouver Island",NA,"48.394614390000001","-123.68698790000001","20.736000000000001","NA","NA","34.642736669999998","156.2644238","NA","0","0",0,130,0,"84.24",NA,"NA","NA","84.24","33.695999999999998",208.071199856699,0.190666552355807,883.211971133947,0.809333447644193,1091.28317099065,0.00123560666307587,0.00524485174879113,0.006480458411867,NA
"7","Solar73257","Solar","Selkirk",NA,"49.882209920000001","-119.53793","15.35261538","NA","NA","25.777106369999998","124.2695628","NA","0","7.1",7.1,25,284,"62.37","0.21961267605633802","NA","NA","62.37","24.948",1098.1699924469,0.975430557111508,27.661041285377,0.0245694428884919,1125.83103373228,0.00652135500151815,0.000164261882198821,0.00668561688371697,NA
"8","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland","y","49.68","-121.53","40.4","40","8","134.80000000000001","88.061461448598124","NA","0","9.6941125496967455",9.69411254969675,69,387.76450198787,"9.02","2.3261541357599995E-2","NA","NA","NA","NA",742.184618853033,0.464904515273204,854.23915091157,0.535095484726796,1596.4237697646,0.00440737719068671,0.00507280001967377,0.00948017721036049,NA
"9","Solar73984","Solar","Lower Mainland",NA,"49.25994","-122.8224257","17.34646154","NA","NA","25.107017670000001","133.37647190000001","NA","0.3","0",0.3,25,12,"70.47","5.8724999999999996","NA","NA","70.47","28.187999999999999",603.531862273812,0.352735890968864,1107.4702719748,0.647264109031136,1711.00213424861,0.00358400389346388,0.00657658363172288,0.0101605875251868,NA
"10","Batt_VI","Battery","Vancouver Island","y","48.494855999999999","-123.42505199999999","50","NA","40","NA","NA","250.36602238805969","0","0.6",0.6,69,24,"0.3","1.2499999999999999E-2","NA","NA","NA","NA",1494.01179218292,0.738291161911413,529.596059650183,0.261708838088587,2023.6078518331,0.00887201557162406,0.00314494471360364,0.0120169602852277,NA
"11","Solar71767","Solar","Vancouver Island",NA,"49.276818929999997","-124.7540298","44.861538459999998","NA","NA","69.180113860000006","142.17640979999999","NA","0.8","5.4",6.2,130,248,"182.25","0.73487903225806439","NA","NA","182.25","72.900000000000006",955.57333604712,0.45625659767449,1138.8036897704,0.54374340232551,2094.37702581752,0.00567456131310161,0.0067626534954611,0.0124372148085627,NA
"12","Solar74712","Solar","Lower Mainland",NA,"49.179494689999999","-122.69556009999999","24.723692310000001","NA","NA","36.095815309999999","156.3236301","NA","0","0",0,69,0,"100.44",NA,"NA","NA","100.44","40.176000000000002",766.068074896932,0.360001688657882,1361.8888181746,0.639998311342118,2127.95689307153,0.00454920632151042,0.00808741863008428,0.0126366249515947,NA
