"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River","y",55.7000000005,-121.633333333,9.20943570024,"9","NA","73","213.94","NA",0,0.424264,0.424264,25,16.97056,10,0.589255746422039,"NA","NA","NA","NA",0.057417668402195,0.890602199281437,0.007052943110466,0.109397800718563,0.064470611512661,1.1382526886819e-05,1.39818137552613e-06,1.27807082623452e-05,NA
"2","WBBio_SP_ST","Biomass","Peace River","y",55.7000000005,-121.633333333,0.9235825785,"1","NA","7","213.94","NA",0,0.424264,0.424264,25,16.97056,10,0.589255746422039,"NA","NA","NA","NA",0.057417668402195,0.890602199281437,0.007052943110466,0.109397800718563,0.064470611512661,1.1382526886819e-05,1.39818137552613e-06,1.27807082623452e-05,NA
"3","Batt_VI","Battery","Vancouver Island","y",48.494856,-123.425052,50,"NA","40","NA","NA","250.36602238805969",0,0.6,0.6,69,24,0.3,0.0125,"NA","NA","NA","NA",19.1168975830078,0.79673108266119,4.87726807594299,0.20326891733881,23.9941656589508,0.00378974985899695,0.000966873726389818,0.00475662358538677,NA
"4","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island","y",48.88,-123.8,40.1,"40","21","113.7","91.427448071216631","NA",0.3,8,8.3,69,332,7.99,0.024066265060241,"NA","NA","NA","NA",5.36343693733215,0.205103746912499,20.7864360809326,0.794896253087501,26.1498730182647,0.00106325225046247,0.00412072057532931,0.00518397282579178,NA
"5","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland","y",49.68,-121.53,40.4,"40","8","134.80000000000001","88.061461448598124","NA",0,9.69411254969675,9.69411254969675,69,387.76450198787,9.02,0.0232615413576,"NA","NA","NA","NA",12.6032046079636,0.344307684095835,24.001277923584,0.655692315904165,36.6044825315476,0.00249846988396246,0.00475803352671087,0.00725650341067333,NA
"6","PC32","Onshore Wind","Peace River","y",55.80858425,-121.3839604,150,"NA","36","383.81940000000003","84.166982229582743","NA",0.1,20,20.1,130,804,19.085175370558,0.0237377803116393,"P","30","NA","NA",19.1764924856532,0.398833447501465,28.9049625823367,0.601166552498535,48.0814550679899,0.00380156400263175,0.0057301440986999,0.00953170810133165,NA
"7","WBBio_WPR_PL","Biomass","North Coast","y",54.0527777786,-128.65,13.691422297,"13","NA","109","133.66","NA",0,4.76985,4.76985,25,190.794,10,0.0524125496608908,"NA","NA","NA","NA",25.632366001606,0.433987684297642,33.4300611801445,0.566012315702358,59.0624271817505,0.00508138179945518,0.00662720345148068,0.0117085852509359,NA
"8","PC29","Onshore Wind","Peace River",NA,55.57650639,-121.7008243,87,"NA","21.599999999999998","213.57755999999998","98.6800376344559","NA",0.8,15.8911689453125,16.6911689453125,130,667.6467578125,154.2378,0.231017073317857,"R","NA","NA","NA",56.8092251680791,0.787449417862761,15.3341073170304,0.212550582137239,72.1433324851095,0.0112619085882334,0.00303984633438711,0.0143017549226205,NA
"9","ROR_5332","Run of River","Mica","y",51.6569055729,-118.616383477,49.27,"NA","7","151","84.37","NA",0.141421356201,4.7698486328125,4.9112699890135,69,196.45079956054,5.75,0.0292694151047628,"NA","NA","NA","NA",41.2670233249664,0.542810121948546,34.7577626109123,0.457189878051454,76.0247859358787,0.00818080941993565,0.00689040810004849,0.0150712175199841,NA
"10","PC46","Onshore Wind","Peace River","y",55.077248,-121.11845,54,"NA","13.2","216.81","76.420343570647532","NA",6.8,8.4,15.2,69,608,7,0.0115131578947368,"R","NA","NA","NA",54.5863082408905,0.664068627145561,27.6134916134179,0.335931372854439,82.1997998543084,0.0108212356665527,0.00547412180736802,0.0162953574739207,NA
"11","NC13","Onshore Wind","North Coast",NA,54.277221,-130.338158,27,"NA","7.1999999999999993","89.352000000000004","105.77926262590856","NA",6.2,4.59411279296875,10.7941127929688,69,431.76451171875,42.32009,0.0980166012985504,"R","NA","NA","NA",61.7483367323875,0.647739814980576,33.5805828496814,0.352260185019424,95.3289195820689,0.0122410422197828,0.00665704299387644,0.0188980852136592,NA
"12","MSW 2","Municipal Solid Waste","Vancouver Island","y",49.101284,-123.010378,25.3,"27","NA","222","92.14","NA",0,2.59706,2.59706,69,103.8824,4,0.0385050788198964,"NA","NA","NA","NA",59.5833702087402,0.520034615874743,54.9924068450928,0.479965384125257,114.575777053833,0.011811857434851,0.0109017409954813,0.0227135984303323,NA
"13","Nimpkish_River_B-8hr","Small Storage Hydro","Vancouver Island","y",50.52,-127.02,77.6,"40","38","380","75.443835022643938","NA",0,7.6,7.6,130,304,7.62,0.0250657894736842,"NA","NA","NA","NA",20.3082804838195,0.161488280794503,105.448711812496,0.838511719205497,125.756992296316,0.00402593060750793,0.0209042413387215,0.0249301719462294,NA
"14","WBBio_LM_RR","Biomass","Lower Mainland","y",49.0794444445,-122.483055556,46.9548644984,"45","NA","374","134.79","NA",0.6,3.67279,4.27279,69,170.9116,10,0.0585097793245163,"NA","NA","NA","NA",93.8296057283878,0.652582983498869,49.9522704482079,0.347417016501131,143.781876176596,0.0186008599740037,0.00990258011613453,0.0285034400901382,NA
"15","WBBio_LM_ST_1","Biomass","Lower Mainland","y",49.0794444445,-122.483055556,38.5057778184,"37","NA","307","104.73","NA",0,3.67279,3.67279,69,146.9116,10,0.0680681443807024,"NA","NA","NA","NA",93.8296057283878,0.652582983498869,49.9522704482079,0.347417016501131,143.781876176596,0.0186008599740037,0.00990258011613453,0.0285034400901382,NA
"16","WBBio_LM_ST_2","Biomass","Lower Mainland","y",49.0794444445,-122.483055556,38.5057778184,"37","NA","307","104.73","NA",0.6,3.67279,4.27279,69,170.9116,10,0.0585097793245163,"NA","NA","NA","NA",93.8296057283878,0.652582983498869,49.9522704482079,0.347417016501131,143.781876176596,0.0186008599740037,0.00990258011613453,0.0285034400901382,NA
"17","SI22","Onshore Wind","Kelly Nicola","y",50.76215624,-121.717804,48,"NA","12","141.036","88.914457851157948","NA",0.741421386719,15.603658203125,16.345079589844,69,653.80318359376,6.36172512351933,0.00973033671777313,"P","10","NA","NA",54.4740764474428,0.35513355980289,98.9163169518112,0.64486644019711,153.390393399254,0.0107989867414043,0.0196092538861446,0.0304082406275489,NA
"18","Canoe Creek - Valemount","Geothermal","Kelly Nicola","y",52.673325,-119.056345,14.3,"52","NA","385.16461135371998","88.585188657271829","NA",0,21.552185546875,21.552185546875,25,862.087421875,15.6,0.0180956125842443,"NA","NA","NA","NA",151.052492154762,0.957177448126362,6.75784118566662,0.0428225518736381,157.810333340429,0.0299447731180751,0.00133968012169861,0.0312844532397737,NA
"19","MSW 1","Municipal Solid Waste","Vancouver Island","y",49.681317,-126.127496,12.2,"13","NA","107","178.98","NA",0,13.9882,13.9882,25,559.528,4,0.00714888262964499,"NA","NA","NA","NA",36.6171664819121,0.230420526306806,122.2973498106,0.769579473693194,158.914516292512,0.00725901788766399,0.0242443295094276,0.0315033473970916,NA
"20","ROR_5018","Run of River","Lower Mainland","y",50.371717,-122.7530678,15.82,"NA","2","37","86.53","NA",0.200000000002,5.23407068874,5.434070688742,69,217.36282754968,6.85,0.0315141281387425,"NA","NA","NA","NA",115.498947143555,0.705753842174445,48.1543555259705,0.294246157825555,163.653302669525,0.0228966084455381,0.00954615994944943,0.0324427683949875,NA
