Plateau,Average_Sum
BC08_01,102.70815211057663
BC08_02,160.04554829880595
BC09_01,35.757154738157986
BC09_02,205.18628711923958
BC10_01,60.45200679451227
BC10_02,32.536546221077444
BC10_03,76.28
BC10_04,52.748061583414675
BC11_01,106.92028988301755
BC11_02,79.3191703478992
BC13_01,71.75144611686468
BC13_02,90.3592076845467
BC15,256.4490567653626
BC17,241.4296898277849
BC18,401.79904941499234
BC19,252.95662606418134
BC20,380.28
BC21,718.4261182695627
BC22,701.8888637009263
BC23,254.63006159096958
BC24,267.74880988061426
BC25,282.2156779959798
BC26_01,111.87369569331408
BC26_02,109.26776011645794
BC26_03,180.7927886298299
NC01,568.7451254349947
NC02,358.1238259267807
NC05,402.1475879979134
NC06,310.39
PC32,43.90787649363279
SI01,412.7126178318262
SI02,99.13064871430397
SI03,173.03372837632895
SI04,114.82121168076992
SI05,162.91742751806976
SI06,130.35972892701625
SI08,112.67552206128836
SI09,88.55734843611717
SI10,130.0747872674465
SI11,171.80866098821164
SI12,106.50623683512211
SI13,360.29088715612886
SI14,107.59169760882854
SI15,267.8858126544952
SI22,48.04792944014073
SI30,38.89322972655296
SI31,43.10108096182346
SI33,20.69072741508484
SI38,61.64200206086039
VI02,251.39000407516957
VI04,87.20385676681995
VI05,318.7741835951805
VI06,166.90665387570857
VI07,174.20011870503424
VI08,32.0
VI09,32.59
VI13,42.136706954836846
NC08,252.72
NC09,384.772255627811
