Plateau,Average_Sum
BC08_01,158.12
BC08_02,264.0
BC09_01,84.3
BC09_02,300.0
BC10_01,100.0
BC10_02,100.0
BC10_03,65.0
BC10_04,98.37
BC11_01,175.0
BC11_02,182.76
BC13_01,174.0
BC13_02,164.61
BC15,283.82
BC17,339.7
BC18,141.83
BC19,145.79
BC20,406.13
BC21,408.66
BC22,188.91
BC23,92.43
BC24,448.38
BC25,507.33
BC26_01,55.49
BC26_02,101.97
BC26_03,67.92
NC01,200.62
NC02,125.49
NC05,141.22
NC06,88.07
PC32,44.13
SI01,141.89
SI02,87.0
SI03,206.96
SI04,151.89
SI05,232.31
SI06,166.29
SI08,173.02
SI09,137.0
SI10,46.9
SI11,51.54
SI12,58.9
SI13,419.4
SI14,45.3
SI15,200.88
SI22,18.38
SI30,46.86
SI31,61.59
SI33,79.02
SI38,92.75
VI02,143.59
VI04,33.98
VI05,220.03
VI06,91.51
VI07,99.71
VI08,26.98
VI09,35.66
VI13,35.03
NC08,40.31
NC09,87.43
