"number" "dsum" "count" "missing" "quant_error" "fname"
0 632.0 632 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_cultus_pygmy.tif"
1 295.0 295 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_hotwater_physa.tif"
2 991.0 991 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_ml_lentic_stickle.tif"
3 991.0 991 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_ml_lotic_stickle.tif"
4 348.0 348 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_nooksack_dace.tif"
5 277.0 277 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_pl_benthic_stickle.tif"
6 277.0 277 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_pl_limnetic_stickle.tif"
7 2378.0 2378 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_salish_sucker.tif"
8 459.0 459 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_speckled_dace.tif"
9 6344.0 6344 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_vancouver_lamprey.tif"
10 943.0 943 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_vc_benthic_threespine.tif"
11 943.0 943 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_vc_limnetic_threespine.tif"
12 261.0 261 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_western_brook_lamprey.tif"
13 22220.0 22220 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\ch_white_sturgeon.tif"
14 2.2112e+06 2211203 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\FSW.tif"
15 1.4452e+08 93230407 123629130 0.00170379 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\psr_freshwater.tif"
16 1.03036e+07 10303597 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\riparian.tif"
17 6.56843e+07 34383888 122793200 0.0184854 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\salmon_cu.tif"
18 353016. 353016 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\SEAR.tif"
19 4.53274e+08 94746739 123665854 0.000131256 "E:\Github\BC Hydro Project\Zonation\100m\Data\Freshwater\stream_crossing_density.tif"
20 3.3487e+06 3348703 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Protections\other_protections.tif"
21 1.49478e+07 14947823 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Protections\protected_areas.tif"
22 785871. 785871 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Protections\section11.tif"
23 4.94356e+09 94806335 123606258 0.000788691 "E:\Github\BC Hydro Project\Zonation\100m\Data\HumanFootprint\human_footprint_100m_v2.tif"
