"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 95652032 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 95642464 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 95632904 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 95623336 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 95613768 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 95604208 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 95594640 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 95585072 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 95575512 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 95565944 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 95556384 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 95546816 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 95537256 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 95527688 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 95518120 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00150 95508560 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00160 95498992 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00170 95489424 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00180 95479864 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00190 95470296 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00200 95460728 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 95451168 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00220 95441600 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00230 95432032 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00240 95422472 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00250 95412904 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00260 95403344 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00270 95393776 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00280 95384216 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00290 95374648 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00300 95365080 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00310 95355520 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00320 95345952 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00330 95336384 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00340 95326824 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00350 95317256 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00360 95307688 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00370 95298128 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00380 95288560 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00390 95278992 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00400 95269432 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00410 95259864 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00420 95250304 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00430 95240736 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00440 95231176 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00450 95221608 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00460 95212040 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00470 95202480 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00480 95192912 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00490 95183344 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00500 95173784 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00510 95164216 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00520 95154648 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00530 95145088 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00540 95135520 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.00550 95125952 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.00560 95116392 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.00570 95106824 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.00580 95097264 0.0 1.0000 1.0000 0.9991 1.0000 1.0000 1.0000 0.9991
0.00590 95087696 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00600 95078136 0.0 1.0000 1.0000 0.9989 1.0000 1.0000 1.0000 0.9989
0.00610 95068568 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.00620 95059000 0.0 0.9999 1.0000 0.9987 0.9999 0.9999 1.0000 0.9987
0.00630 95049440 0.0 0.9999 1.0000 0.9987 0.9999 0.9999 1.0000 0.9987
0.00640 95039872 0.0 0.9999 1.0000 0.9986 0.9999 0.9999 1.0000 0.9986
0.00650 95030304 0.0 0.9999 1.0000 0.9986 0.9999 0.9999 1.0000 0.9986
