"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0000 0.0000
0.00020 0.0000 0.0000
0.00030 0.0000 0.0000
0.00040 0.0000 0.0000
0.00050 0.0000 0.0000
0.00060 0.0000 0.0000
0.00070 0.0000 0.0000
0.00080 0.0000 0.0000
0.00090 0.0000 0.0000
0.00100 0.0000 0.0000
0.00110 0.0000 0.0000
0.00120 0.0000 0.0000
0.00130 0.0000 0.0000
0.00140 0.0000 0.0000
0.00150 0.0000 0.0000
0.00160 0.0000 0.0000
0.00170 0.0000 0.0000
0.00180 0.0000 0.0000
0.00190 0.0018 0.0018
0.00200 0.0036 0.0036
0.00210 0.0030 0.0030
0.00220 0.0042 0.0042
0.00230 0.0030 0.0030
0.00240 0.0030 0.0030
0.00250 0.0066 0.0066
0.00260 0.0060 0.0060
0.00270 0.0072 0.0072
0.00280 0.0072 0.0072
0.00290 0.0072 0.0072
0.00300 0.0072 0.0072
0.00310 0.0066 0.0066
0.00320 0.0072 0.0072
0.00330 0.0072 0.0072
0.00340 0.0060 0.0060
0.00350 0.0072 0.0072
0.00360 0.0078 0.0078
0.00370 0.0060 0.0060
0.00380 0.0072 0.0072
0.00390 0.0072 0.0072
0.00400 0.0072 0.0072
0.00410 0.0072 0.0072
0.00420 0.0066 0.0066
0.00430 0.0072 0.0072
0.00440 0.0072 0.0072
0.00450 0.0072 0.0072
0.00460 0.0072 0.0072
0.00470 0.0066 0.0066
0.00480 0.0072 0.0072
0.00490 0.0072 0.0072
0.00500 0.0060 0.0060
0.00510 0.0083 0.0083
0.00520 0.0060 0.0060
0.00530 0.0072 0.0072
0.00540 0.0078 0.0078
0.00550 0.0060 0.0060
0.00560 0.0072 0.0072
0.00570 0.0072 0.0072
0.00580 0.0072 0.0072
0.00590 0.0072 0.0072
0.00600 0.0066 0.0066
0.00610 0.0072 0.0072
0.00620 0.0072 0.0072
0.00630 0.0072 0.0072
0.00640 0.0072 0.0072
0.00650 0.0066 0.0066
0.00660 0.0072 0.0072
0.00670 0.0072 0.0072
0.00680 0.0060 0.0060
0.00690 0.0083 0.0083
0.00700 0.0060 0.0060
0.00710 0.0095 0.0095
0.00720 0.0125 0.0125
0.00730 0.0131 0.0131
0.00740 0.0137 0.0137
0.00750 0.0101 0.0101
0.00760 0.0101 0.0101
0.00770 0.0107 0.0107
0.00780 0.0113 0.0113
0.00790 0.0173 0.0173
0.00800 0.0143 0.0143
0.00810 0.0209 0.0209
0.00820 0.0268 0.0268
0.00830 0.0507 0.0507
0.00840 0.0441 0.0441
0.00850 0.0435 0.0435
0.00860 0.0459 0.0459
0.00870 0.0477 0.0477
0.00880 0.0465 0.0465
0.00890 0.0465 0.0465
0.00900 0.0471 0.0471
0.00910 0.0477 0.0477
0.00920 0.0471 0.0471
0.00930 0.0465 0.0465
0.00940 0.0465 0.0465
0.00950 0.0507 0.0507
0.00960 0.0507 0.0507
0.00970 0.0531 0.0531
0.00980 0.0537 0.0537
0.00990 0.0537 0.0537
0.01000 0.0548 0.0548
0.01010 0.0548 0.0548
0.01020 0.0543 0.0543
0.01030 0.0548 0.0548
0.01040 0.0537 0.0537
0.01050 0.0548 0.0548
0.01060 0.0537 0.0537
0.01070 0.0543 0.0543
0.01080 0.0560 0.0560
0.01090 0.0584 0.0584
0.01100 0.0566 0.0566
0.01110 0.0578 0.0578
0.01120 0.0566 0.0566
0.01130 0.0578 0.0578
0.01140 0.0578 0.0578
0.01150 0.0578 0.0578
0.01160 0.0578 0.0578
0.01170 0.0578 0.0578
0.01180 0.0578 0.0578
0.01190 0.0566 0.0566
0.01200 0.0584 0.0584
0.01210 0.0566 0.0566
0.01220 0.0590 0.0590
0.01230 0.0566 0.0566
0.01240 0.0590 0.0590
0.01250 0.0566 0.0566
0.01260 0.0578 0.0578
0.01270 0.0566 0.0566
0.01280 0.0590 0.0590
0.01290 0.0566 0.0566
0.01300 0.0584 0.0584
0.01310 0.0566 0.0566
0.01320 0.0578 0.0578
0.01330 0.0578 0.0578
0.01340 0.0578 0.0578
0.01350 0.0566 0.0566
0.01360 0.0578 0.0578
0.01370 0.0566 0.0566
0.01380 0.0566 0.0566
0.01390 0.0566 0.0566
0.01400 0.0560 0.0560
0.01410 0.0566 0.0566
0.01420 0.0554 0.0554
0.01430 0.0548 0.0548
0.01440 0.0554 0.0554
0.01450 0.0548 0.0548
0.01460 0.0560 0.0560
0.01470 0.0531 0.0531
0.01480 0.0560 0.0560
0.01490 0.0548 0.0548
0.01500 0.0531 0.0531
0.01510 0.0548 0.0548
0.01520 0.0548 0.0548
0.01530 0.0548 0.0548
0.01540 0.0554 0.0554
0.01550 0.0525 0.0525
0.01560 0.0560 0.0560
0.01570 0.0531 0.0531
0.01580 0.0548 0.0548
0.01590 0.0548 0.0548
0.01600 0.0537 0.0537
0.01610 0.0543 0.0543
0.01620 0.0548 0.0548
0.01630 0.0537 0.0537
0.01640 0.0548 0.0548
0.01650 0.0537 0.0537
0.01660 0.0543 0.0543
0.01670 0.0548 0.0548
0.01680 0.0548 0.0548
0.01690 0.0537 0.0537
0.01700 0.0543 0.0543
0.01710 0.0548 0.0548
0.01720 0.0548 0.0548
0.01730 0.0537 0.0537
0.01740 0.0554 0.0554
0.01750 0.0548 0.0548
0.01760 0.0525 0.0525
0.01770 0.0525 0.0525
0.01780 0.0519 0.0519
0.01790 0.0525 0.0525
0.01800 0.0548 0.0548
0.01810 0.0525 0.0525
0.01820 0.0543 0.0543
0.01830 0.0531 0.0531
0.01840 0.0578 0.0578
0.01850 0.0596 0.0596
0.01860 0.0596 0.0596
0.01870 0.0590 0.0590
0.01880 0.0566 0.0566
0.01890 0.0584 0.0584
0.01900 0.0590 0.0590
0.01910 0.0578 0.0578
0.01920 0.0596 0.0596
0.01930 0.0590 0.0590
0.01940 0.0578 0.0578
0.01950 0.0584 0.0584
0.01960 0.0578 0.0578
0.01970 0.0590 0.0590
0.01980 0.0578 0.0578
0.01990 0.0584 0.0584
0.02000 0.0590 0.0590
0.02010 0.0584 0.0584
0.02020 0.0578 0.0578
0.02030 0.0602 0.0602
0.02040 0.0584 0.0584
0.02050 0.0602 0.0602
0.02060 0.0596 0.0596
0.02070 0.0596 0.0596
0.02080 0.0608 0.0608
0.02090 0.0602 0.0602
0.02100 0.0596 0.0596
0.02110 0.0584 0.0584
0.02120 0.0590 0.0590
0.02130 0.0596 0.0596
0.02140 0.0590 0.0590
0.02150 0.0590 0.0590
0.02160 0.0608 0.0608
0.02170 0.0578 0.0578
0.02180 0.0596 0.0596
0.02190 0.0596 0.0596
0.02200 0.0590 0.0590
0.02210 0.0578 0.0578
0.02220 0.0572 0.0572
0.02230 0.0578 0.0578
0.02240 0.0560 0.0560
0.02250 0.0566 0.0566
0.02260 0.0578 0.0578
0.02270 0.0566 0.0566
0.02280 0.0566 0.0566
0.02290 0.0566 0.0566
0.02300 0.0566 0.0566
0.02310 0.0578 0.0578
0.02320 0.0578 0.0578
0.02330 0.0566 0.0566
0.02340 0.0566 0.0566
0.02350 0.0566 0.0566
0.02360 0.0578 0.0578
0.02370 0.0566 0.0566
0.02380 0.0578 0.0578
0.02390 0.0566 0.0566
0.02400 0.0578 0.0578
0.02410 0.0560 0.0560
0.02420 0.0584 0.0584
0.02430 0.0590 0.0590
0.02440 0.0578 0.0578
0.02450 0.0578 0.0578
0.02460 0.0584 0.0584
0.02470 0.0578 0.0578
0.02480 0.0590 0.0590
0.02490 0.0596 0.0596
0.02500 0.0578 0.0578
0.02510 0.0596 0.0596
0.02520 0.0608 0.0608
0.02530 0.0578 0.0578
0.02540 0.0608 0.0608
0.02550 0.0608 0.0608
0.02560 0.0590 0.0590
0.02570 0.0608 0.0608
0.02580 0.0608 0.0608
0.02590 0.0620 0.0620
0.02600 0.0638 0.0638
0.02610 0.0650 0.0650
0.02620 0.0638 0.0638
0.02630 0.0650 0.0650
0.02639 0.0650 0.0650
0.02649 0.0650 0.0650
0.02659 0.0638 0.0638
0.02669 0.0650 0.0650
0.02679 0.0650 0.0650
0.02689 0.0632 0.0632
0.02699 0.0638 0.0638
0.02709 0.0638 0.0638
0.02719 0.0632 0.0632
0.02729 0.0626 0.0626
0.02739 0.0632 0.0632
0.02749 0.0620 0.0620
0.02759 0.0626 0.0626
0.02769 0.0632 0.0632
0.02779 0.0626 0.0626
0.02789 0.0632 0.0632
0.02799 0.0626 0.0626
0.02809 0.0632 0.0632
0.02819 0.0614 0.0614
0.02829 0.0632 0.0632
0.02839 0.0626 0.0626
0.02849 0.0620 0.0620
0.02859 0.0632 0.0632
0.02869 0.0620 0.0620
0.02879 0.0626 0.0626
0.02889 0.0632 0.0632
0.02899 0.0614 0.0614
0.02909 0.0602 0.0602
0.02919 0.0554 0.0554
0.02929 0.0566 0.0566
0.02939 0.0566 0.0566
0.02949 0.0572 0.0572
0.02959 0.0554 0.0554
0.02969 0.0626 0.0626
0.02979 0.0608 0.0608
0.02989 0.0632 0.0632
0.02999 0.0632 0.0632
0.03009 0.0626 0.0626
0.03019 0.0620 0.0620
0.03029 0.0620 0.0620
0.03039 0.0626 0.0626
0.03049 0.0632 0.0632
0.03059 0.0614 0.0614
0.03069 0.0632 0.0632
0.03079 0.0626 0.0626
0.03089 0.0620 0.0620
0.03099 0.0638 0.0638
0.03109 0.0632 0.0632
0.03119 0.0620 0.0620
0.03129 0.0620 0.0620
0.03139 0.0626 0.0626
0.03149 0.0632 0.0632
0.03159 0.0626 0.0626
0.03169 0.0620 0.0620
0.03179 0.0626 0.0626
0.03189 0.0644 0.0644
0.03199 0.0608 0.0608
0.03209 0.0626 0.0626
0.03219 0.0632 0.0632
0.03229 0.0614 0.0614
0.03239 0.0620 0.0620
0.03249 0.0644 0.0644
0.03259 0.0608 0.0608
0.03269 0.0650 0.0650
0.03279 0.0614 0.0614
0.03289 0.0602 0.0602
0.03299 0.0608 0.0608
0.03309 0.0596 0.0596
0.03319 0.0608 0.0608
0.03329 0.0596 0.0596
0.03339 0.0602 0.0602
0.03349 0.0596 0.0596
0.03359 0.0578 0.0578
0.03369 0.0608 0.0608
0.03379 0.0596 0.0596
0.03389 0.0620 0.0620
0.03399 0.0608 0.0608
0.03409 0.0620 0.0620
0.03419 0.0626 0.0626
0.03429 0.0602 0.0602
0.03439 0.0626 0.0626
0.03449 0.0620 0.0620
0.03459 0.0632 0.0632
0.03469 0.0614 0.0614
0.03479 0.0620 0.0620
0.03489 0.0620 0.0620
0.03499 0.0620 0.0620
0.03509 0.0626 0.0626
0.03519 0.0632 0.0632
0.03529 0.0608 0.0608
0.03539 0.0626 0.0626
0.03549 0.0632 0.0632
0.03559 0.0626 0.0626
0.03569 0.0620 0.0620
0.03579 0.0620 0.0620
0.03589 0.0620 0.0620
0.03599 0.0596 0.0596
0.03609 0.0608 0.0608
0.03619 0.0596 0.0596
0.03629 0.0608 0.0608
0.03639 0.0608 0.0608
0.03649 0.0602 0.0602
0.03659 0.0608 0.0608
0.03669 0.0596 0.0596
0.03679 0.0608 0.0608
0.03689 0.0602 0.0602
0.03699 0.0608 0.0608
0.03709 0.0596 0.0596
0.03719 0.0608 0.0608
0.03729 0.0596 0.0596
0.03739 0.0602 0.0602
0.03749 0.0608 0.0608
0.03759 0.0596 0.0596
0.03769 0.0608 0.0608
0.03779 0.0608 0.0608
0.03789 0.0608 0.0608
0.03799 0.0602 0.0602
0.03809 0.0626 0.0626
0.03819 0.0596 0.0596
0.03829 0.0632 0.0632
0.03839 0.0626 0.0626
0.03849 0.0620 0.0620
0.03859 0.0650 0.0650
0.03869 0.0650 0.0650
0.03879 0.0632 0.0632
0.03889 0.0614 0.0614
0.03899 0.0632 0.0632
0.03909 0.0626 0.0626
0.03919 0.0650 0.0650
0.03929 0.0644 0.0644
0.03939 0.0608 0.0608
0.03949 0.0608 0.0608
0.03959 0.0596 0.0596
0.03969 0.0638 0.0638
0.03979 0.0674 0.0674
0.03989 0.0608 0.0608
0.03999 0.0620 0.0620
0.04009 0.0638 0.0638
