"number" "dsum" "count" "missing" "quant_error" "fname"
0 288143. 288143 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ALR.tif"
1 389728. 389728 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_BAFA.tif"
2 15262.0 15262 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_BG.tif"
3 1.02526e+06 1025258 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_BWBS.tif"
4 18676.0 18676 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_CDF.tif"
5 223221. 223221 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_CMA.tif"
6 712445. 712445 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_CWH.tif"
7 1.10114e+06 1101139 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_ESSF.tif"
8 355780. 355780 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_ICH.tif"
9 267466. 267466 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_IDF.tif"
10 76706.0 76706 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_IMA.tif"
11 258091. 258091 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_MH.tif"
12 177536. 177536 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_MS.tif"
13 18463.0 18463 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_PP.tif"
14 141566. 141566 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_SBPS.tif"
15 646113. 646113 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_SBS.tif"
16 541231. 541231 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\bec_SWB.tif"
17 2.498e+06 2498001 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\caribou_range.tif"
18 169090. 169090 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_american_badger.tif"
