"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 6021143 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 6020541 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 6019939 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 6019337 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 6018735 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 6018133 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 6017531 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 6016929 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 6016327 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 6015725 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 6015123 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 6014521 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 6013919 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 6013317 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 6012715 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00150 6012113 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00160 6011511 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00170 6010909 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00180 6010307 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00190 6009705 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00200 6009103 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 6008501 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00220 6007899 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00230 6007297 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00240 6006695 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00250 6006093 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00260 6005491 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00270 6004889 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00280 6004287 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
